ATC_code,applicant,composition,dosage_form,international_name,link_of_instruction,manufacturer,number_of_certificate,original,prescribed,registration_date,storage_list,term_of_usage,trade_name,validity
N05AH02,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Clozapine,таблетки 100мг в контурной ячейковой упаковке №10х5,Clozapine,"https://rceth.by//NDfiles/instr/22_04_2727_s.pdf,https://rceth.by//NDfiles/instr/22_04_2727_p.pdf","Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",22/04/2727,генерик,по рецепту,19.04.2022,,2 года,КЛОЗАПИН,бессрочно
R05CA10,"Отисифарм АО, Российская Федерация",Combinations,"таблетки  в контурной ячейковой упаковке №10х1, №10х2",Combinations,"https://rceth.by//NDfiles/instr/9254_10_15_17_22_s.pdf,https://rceth.by//NDfiles/instr/9254_10_15_17_22_p.pdf","Фармстандарт-Лексредства ОАО, Российская Федерация",9254/10/15/17/22,генерик,без рецепта,22.04.2022,,2 года,КОДЕЛАК БРОНХО,бессрочно
D07AD01,"БАУШ ХЕЛС ООО, Российская Федерация",Clobetasol,"мазь для наружного  применения 0,5мг/г в тубах 25г в упаковке №1",Clobetasol,"https://rceth.by//NDfiles/instr/9027_04_09_15_17_20_21_p.pdf,https://rceth.by//NDfiles/instr/9027_04_09_15_17_20_21_s.pdf","Pharmaceutical Works Jelfa S.A., Польша",9027/04/09/15/17/20/21,генерик,по рецепту,04.05.2020,,2 года,КЛОВЕЙТ,бессрочно
D07AD01,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Clobetasol,"крем для наружного применения 0,5мг/г в тубах 25г в упаковке №1",Clobetasol,"https://rceth.by//NDfiles/instr/22_10_2784_p.pdf,https://rceth.by//NDfiles/instr/22_10_2784_s.pdf","Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",22/10/2784,генерик,по рецепту,04.10.2022,,2 года,КЛОБЕТАЗОЛ,бессрочно
G01AF20,"Gedeon Richter Plc., Венгрия",Combinations of imidazole derivatives,таблетки вагинальные 100мг/100мг в блистерах в упаковке №10х1,Combinations of imidazole derivatives,https://rceth.by//NDfiles/instr/890_94_99_04_09_15_20_i.pdf,"Gedeon Richter Plc., Венгрия",890/94/99/04/09/15/20,генерик,по рецепту,30.01.2020,,5 лет,КЛИОН-Д 100,бессрочно
D07AD01,"БАУШ ХЕЛС ООО, Российская Федерация",Clobetasol,"крем для наружного применения 0,5мг/г в тубах 25г в упаковке №1",Clobetasol,"https://rceth.by//NDfiles/instr/6991_04_09_14_15_18_20_21_s.pdf,https://rceth.by//NDfiles/instr/6991_04_09_14_15_18_20_21_p.pdf","Pharmaceutical Works Jelfa S.A., Польша",6991/04/09/14/15/18/20/21,генерик,по рецепту,08.04.2020,,3 года,КЛОВЕЙТ,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Clopidogrel,субстанция,Clopidogrel,,"SUVAN Lifesciences Pvt. Ltd., Индия",2258/17,,,18.05.2017,,5 лет,КЛОПИДОГРЕЛА ГИДРОСУЛЬФАТ,бессрочно
B01AC04,"Белмедпрепараты РУП, Республика Беларусь",Clopidogrel,"таблетки, покрытые оболочкой, 75мг в контурной ячейковой упаковке №10х1, №10х3",Clopidogrel,"https://rceth.by//NDfiles/instr/19_05_1871_s.pdf,https://rceth.by//NDfiles/instr/19_05_1871_p.pdf","Белмедпрепараты РУП, Республика Беларусь",19/05/1871,генерик,по рецепту,22.04.2016,,2 года,КЛОПИДОГРЕЛ,бессрочно
,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Clindamycin,субстанция,Clindamycin,,"Zhejiang Tiantai Pharmaceutical Co., Ltd, Китай",1273/09/10/16/20,не определено,,28.07.2016,,3 года,КЛИНДАМИЦИНА ГИДРОХЛОРИД,бессрочно
G01AA10,"Farmaprim SRL, Республика Молдова",Clindamycin,суппозитории вагинальные 100мг в контурной ячейковой упаковке №3х1,Clindamycin,"https://rceth.by//NDfiles/instr/6500_03_09_15_22_p.pdf,https://rceth.by//NDfiles/instr/6500_03_09_15_22_s.pdf","Farmaprim SRL, Республика Молдова",6500/03/09/15/22,генерик,по рецепту,18.01.2022,,3 года,КЛИНДАБИОКС,бессрочно
G03FB08,"Alvogen IPCo S.ar.l, Люксембург",Levonorgestrel and estrogen,драже  в блистерах в упаковке №21х1,Levonorgestrel and estrogen,"https://rceth.by//NDfiles/instr/761_95_98_2000_05_10_11_14_14_19_p.pdf,https://rceth.by//NDfiles/instr/761_95_98_2000_05_10_11_14_14_19_s.pdf","Bayer Weimar GmbH & Co. KG, Германия",761/95/98/2000/05/10/11/14/14/19,оригинальное,по рецепту,23.05.2019,,5 лет,КЛИМОНОРМ,бессрочно
G03HB01,"Alvogen IPCo S.ar.l, Люксембург",Cyproterone and estrogen,"таблетки, покрытые оболочкой,  в блистерах в упаковке №21х1",Cyproterone and estrogen,"https://rceth.by//NDfiles/instr/39_93_98_02_07_12_18_p.pdf,https://rceth.by//NDfiles/instr/39_93_98_02_07_12_18_s.pdf","Delpharm Lille S.A.S., Франция",39/93/98/02/07/12/18,оригинальное,по рецепту,25.06.2018,,5 лет,КЛИМЕН,бессрочно
J01FF01,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Clindamycin,"капсулы 150мг в контурной ячейковой упаковке №10х2, №10х3,капсулы 300мг в контурной ячейковой упаковке №10х2, №10х3",Clindamycin,"https://rceth.by//NDfiles/instr/16_11_1965_p.pdf,https://rceth.by//NDfiles/instr/16_11_1965_s.pdf","Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",16/11/1965,генерик,по рецепту,23.11.2016,,2 года,КЛИНДАЦИЛ,бессрочно
G01AA10,"Интеграфарм ЗАО, Республика Беларусь",Clindamycin,суппозитории вагинальные 100мг в контурной ячейковой упаковке №3х1,Clindamycin,"https://rceth.by//NDfiles/instr/19_04_2917_p.pdf,https://rceth.by//NDfiles/instr/19_04_2917_s.pdf","Farmaprim SRL, Республика Молдова/ Интеграфарм ЗАО, Республика Беларусь",19/04/2917,генерик,по рецепту,10.04.2019,,3 года,КЛИНДАСТИМИН,10.04.2024
G02CX,"Alpen Pharma GmbH, Германия",Other gynecologicals,таблетки  в блистерах в упаковке №20х3,Other gynecologicals,"https://rceth.by//NDfiles/instr/11100_22_p.pdf,https://rceth.by//NDfiles/instr/11100_22_s.pdf","Dr. Gustav Klein GmbH & Co. KG, Германия",11100/22,оригинальное,без рецепта,10.03.2022,,5 лет,КЛИМАКТОПЛАН А,10.03.2027
D10AF51,"Farmaprim SRL, Республика Молдова","Clindamycin, combinations",гель для наружного применения (10мг+50мг)/г в тубах 15г в упаковке №1,"Clindamycin, combinations","https://rceth.by//NDfiles/instr/10821_20_p.pdf,https://rceth.by//NDfiles/instr/10821_20_s.pdf","Farmaprim SRL, Республика Молдова",10821/20,генерик,по рецепту,18.05.2020,,2 года,КЛИНТОПИК,18.05.2025
N06AA04,"Sun Pharmaceutical Industries Ltd, Индия",Clomipramine,"таблетки, покрытые пленочной оболочкой, 25мг в упаковке №10х5",Clomipramine,https://rceth.by//NDfiles/instr/8435_07_12_18_18_21_i.pdf,"Sun Pharma Laboratories Limited, Индия/ упаковано Экзон ОАО, Республика Беларусь",8435/07/12/18/18/21,генерик,по рецепту,17.01.2018,,4 года,КЛОФРАНИЛ,бессрочно
G02CX,"Laboratories Bouchara-Recordati, Франция",Other gynecologicals,таблетки 400мг в блистерах в упаковке №15х2,Other gynecologicals,"https://rceth.by//NDfiles/instr/10856_20_p.pdf,https://rceth.by//NDfiles/instr/10856_20_s.pdf","Laboratoires Bouchara-Recordati, Франция",10856/20,оригинальное,без рецепта,29.09.2020,,3 года,КЛИМАЛАНИН,29.09.2025
G02CX,"НПФ Материа Медика Холдинг ООО, Российская Федерация",Homeopatic drug (g02cx),"таблетки гомеопатические  в контурной ячейковой упаковке №20х1, №20х2",Homeopatic drug (g02cx),"https://rceth.by//NDfiles/instr/6542_03_08_13_18_s.pdf,https://rceth.by//NDfiles/instr/6542_03_08_13_18_p.pdf","Материа Медика Холдинг ООО НПФ, Российская Федерация",6542/03/08/13/18,оригинальное,без рецепта,30.05.2018,,3 года,КЛИМАКСАН ГОМЕОПАТИЧЕСКИЙ,бессрочно
G02CX,"НПФ Материа Медика Холдинг ООО, Российская Федерация",Homeopatic drug (g02cx),гранулы гомеопатические  в пакетах 10г в упаковке №1,Homeopatic drug (g02cx),"https://rceth.by//NDfiles/instr/1671_96_01_04_05_10_15_18_20_p.pdf,https://rceth.by//NDfiles/instr/1671_96_01_04_05_10_15_18_20_s.pdf","НПФ Материа Медика Холдинг ООО, Российская Федерация",1671/96/01/04/05/10/15/18/20,оригинальное,без рецепта,10.02.2020,,3 года,КЛИМАКСАН ГОМЕОПАТИЧЕСКИЙ,бессрочно
G02CX,"Bionorica SE, Германия",Other gynecologicals,"таблетки, покрытые пленочной оболочкой,  в блистерах в упаковке №15х2, №15х4",Other gynecologicals,"https://rceth.by//NDfiles/instr/8475_08_13_18_p.pdf,https://rceth.by//NDfiles/instr/8475_08_13_18_s.pdf","Salutas Pharma GmbH, Германия/Bionorica SE, Германия",8475/08/13/18,оригинальное,без рецепта,02.04.2018,,4 года,КЛИМАДИНОН УНО,бессрочно
